benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_tdp,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,os,ram,ram_clock_freq,score
Time Spy,1.2,5308,10,14 nm,Intel,16054,Intel Core i9-10900K Processor,FCLGA1200,125,September 24 2020,NVIDIA GeForce RTX 3080,2050,1312,53,2070,1,Approved ,27.21.14.5638,1313,19996,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4402,19285
Time Spy,1.2,5308,10,14 nm,Intel,15990,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2060,1312,55,2085,1,Approved ,27.21.14.5638,1313,20009,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4404,19282
Time Spy,1.2,5308,10,14 nm,Intel,16011,Intel Core i9-10900K Processor,FCLGA1200,125,September 24 2020,NVIDIA GeForce RTX 3080,2034,1312,54,2055,1,Approved ,27.21.14.5638,1313,19926,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4400,19221
Time Spy,1.2,5308,10,14 nm,Intel,16058,Intel Core i9-10900K Processor,FCLGA1200,125,September 24 2020,NVIDIA GeForce RTX 3080,2020,1312,58,2040,1,Approved ,27.21.14.5638,1313,19806,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4404,19136
Time Spy,1.2,5308,10,14 nm,Intel,15976,Intel Core i9-10900K Processor,FCLGA1200,125,September 24 2020,NVIDIA GeForce RTX 3080,2022,1312,56,2040,1,Approved ,27.21.14.5638,1313,19802,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4406,19115
Time Spy,1.2,5308,10,14 nm,Intel,16116,Intel Core i9-10900K Processor,FCLGA1200,125,September 24 2020,NVIDIA GeForce RTX 3080,2007,1312,59,2025,1,Approved ,27.21.14.5638,1313,19725,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4402,19083
Time Spy,1.2,5308,10,14 nm,Intel,15979,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2033,1293,55,2085,1,Approved ,27.21.14.5638,1313,19736,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4402,19063
Time Spy,1.2,5308,10,14 nm,Intel,15919,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2053,1303,55,2085,1,Approved ,27.21.14.5638,1313,19747,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4404,19059
Time Spy,1.0,5305,10,14 nm,Intel,16559,Intel Core i9-10900K Processor,FCLGA1200,125,September 19 2020,NVIDIA GeForce RTX 3080,1975,1268,53,2010,1,Approved ,27.21.14.5616,1268,19560,Colorful,10240,64-bit Windows 10 (10.0.19041),16384,4602,19042
Time Spy,1.2,5308,10,14 nm,Intel,15965,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2039,1281,55,2085,1,Approved ,27.21.14.5638,1281,19669,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4404,19007
Time Spy,1.2,5203,10,14 nm,Intel,16047,Intel Core i9-10900KF Processor,FCLGA1200,125,September 29 2020,NVIDIA GeForce RTX 3080,2019,1346,51,2190,1,Approved ,27.21.14.5655,1357,19591,"Micro-Star International Co ., Ltd.",10240,64-bit Windows 10 (10.0.19041),16384,4600,18962
Time Spy,1.0,5202,10,14 nm,Intel,16441,Intel Core i9-10900K Processor,FCLGA1200,125,September 19 2020,NVIDIA GeForce RTX 3080,N/A,N/A,N/A,1510,1,Approved ,27.21.14.5616,1215,19472,"Giga-Byte Technology Co., Ltd.",10240,64-bit Windows 10 (10.0.19041),16384,4600,18948
Time Spy,1.2,5203,10,14 nm,Intel,15983,Intel Core i9-10900KF Processor,FCLGA1200,125,September 29 2020,NVIDIA GeForce RTX 3080,1996,1350,51,2190,1,Approved ,27.21.14.5655,1350,19572,"Micro-Star International Co ., Ltd.",10240,64-bit Windows 10 (10.0.19041),16384,4596,18934
Time Spy,1.2,5203,10,14 nm,Intel,16065,Intel Core i9-10900KF Processor,FCLGA1200,125,September 29 2020,NVIDIA GeForce RTX 3080,2020,1336,50,2205,1,Approved ,27.21.14.5655,1357,19496,"Micro-Star International Co ., Ltd.",10240,64-bit Windows 10 (10.0.19041),16384,4600,18890
